ID,Name,Description,Price,Category,Image URL,Images,Stock,Featured,Has Sizes,Available Sizes,Tags
prod1,Anillo Plata 925,Elegante anillo de plata 925 con diseño minimalista perfecto para uso diario,2500,cat1,https://images.unsplash.com/photo-1605100804763-247f67b3557e?w=800&h=800&fit=crop,"https://images.unsplash.com/photo-1605100804763-247f67b3557e?w=800&h=800&fit=crop,https://images.unsplash.com/photo-1603561591411-07134e71a2a9?w=800&h=800&fit=crop",15,TRUE,TRUE,"14,16,18,20,22","plata,elegante,minimal"
prod2,Anillo Corazón,Anillo especial con forma de corazón ideal para regalar,4200,cat1,https://images.unsplash.com/photo-1515562141207-7a88fb7ce338?w=800&h=800&fit=crop,,5,TRUE,TRUE,"S,M,L","especial,regalo,corazón"
prod3,Anillo Infinito,Anillo con símbolo de infinito que representa amor eterno,3800,cat1,https://images.unsplash.com/photo-1603561596112-0a132b757442?w=800&h=800&fit=crop,,10,FALSE,TRUE,"14,16,18,20","infinito,amor,símbolo"
prod4,Anillo Solitario,Anillo solitario con circonia cúbica de alta calidad,5500,cat1,https://images.unsplash.com/photo-1605100804763-247f67b3557e?w=800&h=800&fit=crop,,8,TRUE,TRUE,"14,15,16,17,18,19,20","elegante,circonia,formal"
prod5,Cadenita Dorada,Cadenita bañada en oro de 18k de 45cm de largo,3500,cat2,https://images.unsplash.com/photo-1599643478518-a784e5dc4c8f?w=800&h=800&fit=crop,,12,FALSE,FALSE,,"dorado,elegante"
prod6,Cadenita Estrella,Delicada cadenita con dije de estrella brillante,3200,cat2,https://images.unsplash.com/photo-1611591437281-460bfbe1220a?w=800&h=800&fit=crop,,8,FALSE,FALSE,,"estrella,delicado,trendy"
prod7,Cadenita Plata,Cadenita de plata 925 con cadena tipo eslabón,2800,cat2,https://images.unsplash.com/photo-1599643478518-a784e5dc4c8f?w=800&h=800&fit=crop,,20,TRUE,FALSE,,"plata,clásico"
prod8,Cadenita Corazón,Cadenita con dije de corazón perfecta para regalo,3600,cat2,https://images.unsplash.com/photo-1611591437281-460bfbe1220a?w=800&h=800&fit=crop,,6,TRUE,FALSE,,"corazón,regalo,amor"
prod9,Pulsera Cadena,Pulsera de cadena con cierre ajustable de acero inoxidable,1800,cat3,https://images.unsplash.com/photo-1611591437281-460bfbe1220a?w=800&h=800&fit=crop,,25,FALSE,FALSE,,"casual,acero"
prod10,Pulsera Cuero,Pulsera trenzada de cuero genuino con detalles de plata,1500,cat3,https://images.unsplash.com/photo-1573408301185-9146fe634ad0?w=800&h=800&fit=crop,,15,FALSE,FALSE,,"cuero,casual,unisex"
prod11,Pulsera Dijes,Pulsera con dijes personalizables en plata 925,4500,cat3,https://images.unsplash.com/photo-1611591437281-460bfbe1220a?w=800&h=800&fit=crop,,10,TRUE,FALSE,,"personalizable,plata,especial"
prod12,Aretes Perla,Aretes elegantes con perla cultivada y base de plata,2800,cat4,https://images.unsplash.com/photo-1535632066927-ab7c9ab60908?w=800&h=800&fit=crop,,18,TRUE,FALSE,,"elegante,perla,formal"
prod13,Aretes Argolla,Aretes tipo argolla en oro de 18k tamaño mediano,3200,cat4,https://images.unsplash.com/photo-1535632066927-ab7c9ab60908?w=800&h=800&fit=crop,,12,FALSE,FALSE,,"dorado,clásico"
prod14,Aretes Cristal,Aretes con cristales austriacos de colores vibrantes,2200,cat4,https://images.unsplash.com/photo-1535632066927-ab7c9ab60908?w=800&h=800&fit=crop,,20,TRUE,FALSE,,"cristal,colores,trendy"
